"","birdspecies_pruned"
"1","Sitta canadensis"
"2","Cardellina pusilla"
"3","Cyanocitta stelleri"
"4","Pheucticus melanocephalus"
"5","Catharus ustulatus"
"6","Certhia americana"
"7","Glaucidium gnoma"
"8","Colaptes auratus"
"9","Empidonax difficilis"
"10","Patagioenas fasciata"
"11","Piranga ludoviciana"
"12","Setophaga occidentalis"
"13","Vireo gilvus"
"14","Troglodytes pacificus"
"15","Zonotrichia leucophrys"
"16","Contopus cooperi"
"17","Geothlypis tolmiei"
"18","Thryomanes bewickii"
"19","Picoides villosus"
"20","Ixoreus naevius"
"21","Pipilo maculatus"
"22","Empidonax traillii"
"23","Spinus tristis"
"24","Corvus corax"
"25","Junco hyemalis"
"26","Zenaida macroura"
"27","Poecile rufescens"
"28","Melospiza melodia"
"29","Aves sp."
"30","Turdus migratorius"
"31","Setophaga nigrescens"
"32","Troglodytes aedon"
"33","Selasphorus rufus"
"34","Setophaga petechia"
"35","Spinus psaltria"
"36","Geothlypis trichas"
"37","Bombycilla cedrorum"
"38","Haemorhous purpureus"
"39","Corvus brachyrhynchos"
"40","Perisoreus canadensis"
"41","Buteo jamaicensis"
"42","Setophaga townsendi"
"43","Poecile sp."
"44","Setophaga citrina"
"45","Poecile atricapillus"
"46","Regulus satrapa"
"47","Empidonax oberholseri"
"48","Loxia curvirostra"
"49","Oreortyx pictus"
"50","Myadestes townsendi"
"51","Sialia mexicana"
"52","Calypte anna"
"53","Passerina ciris"
"54","Baeolophus inornatus"
"55","Sphyrapicus ruber"
"56","Vireo huttoni"
"57","Tachycineta thalassina"
"58","Passerina amoena"
"59","Molothrus ater"
"60","Empidonax hammondii"
"61","Vireo olivaceus"
"62","Seiurus aurocapilla"
"63","Setophaga virens"
"64","Troglodytes hiemalis"
"65","Catharus guttatus"
"66","Vireo solitarius"
"67","Mniotilta varia"
"68","Sitta carolinensis"
"69","Setophaga fusca"
"70","Setophaga caerulescens"
"71","Piranga olivacea"
"72","Sphyrapicus varius"
"73","Contopus virens"
"74","Cyanocitta cristata"
"75","Pheucticus ludovicianus"
"76","Setophaga ruticilla"
"77","Melanerpes carolinus"
"78","Myiarchus crinitus"
"79","Vireo flavifrons"
"80","Empidonax minimus"
"81","Buteo platypterus"
"82","Strix varia"
"83","Setophaga coronata"
"84","Buteo lineatus"
"85","Catharus fuscescens"
"86","Dryocopus pileatus"
"87","Baeolophus bicolor"
"88","Archilochus colubris"
"89","Setophaga magnolia"
"90","Coccyzus americanus"
"91","Setophaga pensylvanica"
"92","Setophaga pinus"
"93","Passerina versicolor"
"94","Coccyzus minor"
"95","Setophaga cerulea"
"96","Hylocichla mustelina"
"97","Pipilo erythrophthalmus"
"98","Setophaga americana"
"99","Bonasa umbellus"
"100","Cyanocompsa parellina"
"101","Spizella passerina"
"102","Regulus calendula"
"103","Accipiter gentilis"
"104","Cardellina canadensis"
"105","Empidonax virescens"
"106","Icterus galbula"
"107","Cardinalis cardinalis"
"108","Polioptila caerulea"
"109","Thryothorus ludovicianus"
"110","Spizella pusilla"
"111","Passerina cyanea"
"112","Poecile carolinensis"
"113","Protonotaria citrea"
"114","Tyrannus tyrannus"
"115","Setophaga striata"
"116","Icterus spurius"
"117","Ardea herodias"
"118","Sayornis phoebe"
"119","Sturnella magna"
"120","Progne subis"
"121","Sialia sialis"
"122","Mimus polyglottos"
"123","Melanerpes erythrocephalus"
"124","Ammodramus savannarum"
"125","Icteria virens"
"126","Quiscalus quiscula"
"127","Chaetura pelagica"
"128","Cathartes aura"
"129","Tachycineta bicolor"
"130","Empidonax wrightii"
"131","Toxostoma rufum"
"132","Meleagris gallopavo"
"133","Parkesia motacilla"
"134","Haemorhous mexicanus"
"135","Agelaius phoeniceus"
"136","Vireo griseus"
"137","Accipiter cooperii"
"138","Setophaga discolor"
"139","Hirundo rustica"
"140","Coragyps atratus"
"141","Empidonax flaviventris"
"142","Acanthis flammea"
"143","Poecile hudsonicus"
"144","Piranga flava"
"145","Empidonax alnorum"
"146","Spinus pinus"
"147","Loxia leucoptera"
"148","Falcipennis canadensis"
"149","Falco columbarius"
"150","Sayornis saya"
"151","Passerella iliaca"
"152","Melospiza lincolnii"
"153","Passerculus sandwichensis"
"154","Pandion haliaetus"
"155","Contopus sordidulus"
"156","Picoides arcticus"
"157","Spizelloides arborea"
"158","Tringa solitaria"
"159","Pica hudsonia"
"160","Picoides dorsalis"
"161","Piranga rubra"
"162","Spiza americana"
"163","Zonotrichia albicollis"
"164","Bartramia longicauda"
"165","Leucophaeus pipixcan"
"166","Passerina caerulea"
"167","Spizella pallida"
"168","Butorides virescens"
"169","Colinus virginianus"
"170","Tyrannus forficatus"
"171","Cistothorus platensis"
"172","Chondestes grammacus"
"173","Ictinia mississippiensis"
"174","Petrochelidon pyrrhonota"
"175","Setophaga coronata coronata"
"176","Zonotrichia querula"
"177","Charadrius vociferus"
"178","Phalacrocorax auritus"
"179","Pooecetes gramineus"
"180","Archilochus alexandri"
"181","Anthus rubescens"
"182","Vireo bellii"
"183","Branta canadensis"
"184","Columba livia"
"185","Antrostomus carolinensis"
"186","Streptopelia decaocto"
"187","Actitis macularius"
"188","Bubo virginianus"
"189","Aix sponsa"
"190","Chordeiles minor"
"191","Dumetella carolinensis"
"192","Geococcyx californianus"
"193","Dendrocygna autumnalis"
"194","Geothlypis philadelphia"
"195","Megaceryle alcyon"
"196","Lepidocolaptes leucogaster"
"197","Tympanuchus phasianellus"
"198","Larus argentatus"
"199","Amandava amandava"
"200","Sporophila torqueola"
"201","Catharus minimus"
"202","Tringa melanoleuca"
"203","Accipiter striatus"
"204","Circus cyaneus"
"205","Sterna paradisaea"
"206","Gallinago delicata"
"207","Larus canus"
"208","Surnia ulula"
"209","Corvus ossifragus"
"210","Geothlypis formosa"
"211","Setophaga dominica"
"212","Nyctanassa violacea"
"213","Pinicola enucleator"
"214","Sitta pusilla"
"215","Ardea alba"
"216","Anhinga anhinga"
"217","Salpinctes obsoletus"
"218","Helmitheros vermivorum"
"219","Vermivora cyanoptera"
"220","Antrostomus vociferus"
"221","Scolopax minor"
"222","Polioptila melanura"
"223","Megascops asio"
"224","Zenaida aurita"
"225","Coereba flaveola"
"226","Melanerpes portoricensis"
"227","Setophaga adelaidae"
"228","Todus mexicanus"
"229","Myiarchus antillarum"
"230","Zenaida asiatica"
"231","Icterus icterus"
"232","Elaenia martinica"
"233","Columbina passerina"
"234","Margarops fuscatus"
"235","Geotrygon montana"
"236","Petrochelidon fulva"
"237","Crotophaga ani"
"238","Geotrygon chrysia"
"239","Gallus gallus"
"240","Turdus plumbeus"
"241","Anthracothorax dominicus"
"242","Chlorostilbon maugaeus"
"243","Vireo altiloquus"
"244","Tyrannus dominicensis"
"245","Megascops nudipes"
"246","Contopus latirostris"
"247","Tiaris olivaceus"
"248","Patagioenas squamosa"
"249","Vireo latimeri"
"250","Streptopelia roseogrisea"
"251","Quiscalus niger"
"252","Anthracothorax viridis"
"253","Bucephala clangula"
"254","Gallinula galeata"
"255","Thalasseus maximus"
"256","Pelecanus occidentalis"
"257","Spermestes cucullata"
"258","Thalasseus sandvicensis"
"259","Fregata magnificens"
"260","Pelecanus erythrorhynchos"
"261","Progne dominicensis"
"262","Phaethon lepturus"
"263","Anas rubripes"
"264","Falco sparverius"
"265","Stelgidopteryx serripennis"
"266","Himantopus mexicanus"
"267","Tyrannus caudifasciatus"
"268","Molothrus bonariensis"
"269","Peucaea aestivalis"
"270","Coccyzus erythropthalmus"
"271","Passerina leclancherii"
"272","Branta hutchinsii"
"273","Parkesia noveboracensis"
"274","Melospiza georgiana"
"275","Strix nebulosa"
"276","Numenius phaeopus"
"277","Asio flammeus"
"278","Asio otus"
"279","Lagopus lagopus"
"280","Haliaeetus leucocephalus"
"281","Myiarchus cinerascens"
"282","Lanius ludovicianus"
"283","Sturnus vulgaris"
"284","Crotophaga sulcirostris"
"285","Sturnella sp."
"286","Tympanuchus cupido"
"287","Ammodramus nelsoni"
"288","Corvidae sp."
"289","Sturnella neglecta"
"290","Dolichonyx oryzivorus"
"291","Eremophila alpestris"
"292","Tyrannus verticalis"
"293","Botaurus lentiginosus"
"294","Podilymbus podiceps"
"295","Egretta caerulea"
"296","Egretta thula"
"297","Anas platyrhynchos"
"298","Bubulcus ibis"
"299","Artemisiospiza nevadensis"
"300","Amphispiza bilineata"
"301","Sialia currucoides"
"302","Vireo vicinior"
"303","Selasphorus platycercus"
"304","Gymnorhinus cyanocephalus"
"305","Oreoscoptes montanus"
"306","Vireo plumbeus"
"307","Spizella breweri"
"308","Aphelocoma woodhouseii"
"309","Tyrannus vociferans"
"310","Aphelocoma californica"
"311","Psaltriparus minimus"
"312","Falco mexicanus"
"313","Catherpes mexicanus"
"314","Baeolophus ridgwayi"
"315","Aeronautes saxatalis"
"316","Phalaenoptilus nuttallii"
"317","Icterus bullockii"
"318","Pipilo chlorurus"
"319","Aquila chrysaetos"
"320","Poecile gambeli"
"321","Nucifraga columbiana"
"322","Sitta pygmaea"
"323","Sphyrapicus thyroideus"
"324","Empidonax occidentalis"
"325","Dendragapus obscurus"
"326","Leucosticte australis"
"327","Haemorhous cassinii"
"328","Lagopus leucura"
"329","Buteo swainsoni"
"330","Xanthocephalus xanthocephalus"
"331","Tringa semipalmata"
"332","Calamospiza melanocorys"
"333","Euphagus cyanocephalus"
"334","Setophaga castanea"
"335","Quiscalus major"
"336","Anas fulvigula"
"337","Plegadis falcinellus"
"338","Fulica americana"
"339","Orthorhyncus cristatus"
"340","Himatione sanguinea"
"341","Chlorodrepanis virens"
"342","Zosterops japonicus"
"343","Myadestes obscurus"
"344","Leiothrix lutea"
"345","Acridotheres tristis"
"346","Lophura leucomelanos"
"347","Passer domesticus"
"348","Peucaea cassinii"
"349","Leucophaeus atricilla"
"350","Melanerpes formicivorus"
"351","Melozone crissalis"
"352","Vireo cassinii"
"353","Callipepla californica"
"354","Aimophila ruficeps"
"355","Melanerpes lewis"
"356","Spinus lawrencei"
"357","Phainopepla nitens"
"358","Zonotrichia atricapilla"
"359","Sayornis nigricans"
"360","Selasphorus calliope"
"361","Lampornis amethystinus"
"362","Larus californicus"
"363","Toxostoma redivivum"
"364","Chamaea fasciata"
"365","Deltarhynchus flammulatus"
"366","Cypseloides niger"
"367","Vermivora chrysoptera"
"368","Polioptila nigriceps"
"369","Tyrannus crassirostris"
"370","Cardellina rubra"
"371","Sphyrapicus sp."
"372","Dendragapus fuliginosus"
"373","Setophaga palmarum"
"374","Setophaga tigrina"
"375","Gavia immer"
"376","Oporornis agilis"
"377","Cygnus buccinator"
"378","Cygnus columbianus"
"379","Mergus merganser"
"380","Porzana carolina"
"381","Aythya affinis"
"382","Eulampis holosericeus"
"383","Sphyrapicus nuchalis"
"384","Cinclus mexicanus"
"385","Aythya collaris"
"386","Histrionicus histrionicus"
